,l1,l2,l3,global_id,category
0,1299.9714958745988,3500.5548005032438,-12.594183820668547,153,2
1,1290.1903361463633,3500.6510748145774,-12.592239460671294,152,2
2,1286.8734609362048,3500.585488614526,-12.591529538125315,151,2
3,1283.4255088365512,3500.6183805249816,-12.590848925564728,150,2
4,1278.7512296827053,3501.6809508410624,-12.590488671359822,155,2
5,1301.2965252987408,3902.984748644295,-12.828298412372419,18,2
6,1290.81926138791,3902.848709954919,-12.82607288133579,17,2
7,1287.4420146965945,3902.9271969325364,-12.825434116322072,16,2
8,1283.904615979111,3902.839220625653,-12.824662719259663,27,2
9,1278.9166736399795,3902.2163269591438,-12.823272749056628,20,2
10,1292.6130953660559,3501.024114911043,-12.592937838881653,149,1
11,1284.3805764574186,3500.970446976246,-12.591235747347733,148,1
12,1278.7410940293837,3501.917325444896,-12.59061656323587,160,1
13,1285.5801180875624,3596.1229789405706,-12.644480386653527,167,1
14,1285.63434968698,3683.217829721924,-12.694250598009376,169,1
15,1294.8073421600066,3679.0220201805287,-12.693692388068769,8,1
16,1285.570472372879,3765.677722774065,-12.742446477963881,170,1
17,1294.9945136555161,3772.664474256512,-12.748497906682644,9,1
18,1278.7489337856273,3820.724664679938,-12.773843013739054,29,1
19,1293.7223422733975,3903.3846077590906,-12.826993141705827,35,1
20,1284.8718177042563,3903.2190373032627,-12.825091416088526,32,1
21,1278.97558270927,3902.50782185083,-12.823463203554525,30,1
22,1285.58079503009,3999.7933835110325,-12.88513915664447,45,1
23,1281.536463332828,3999.8081225612864,-12.884329028370587,48,1
24,1285.4471308136278,4100.976030564931,-12.949445132496578,46,1
25,1281.6266668918481,4100.886903406894,-12.948613612025724,49,1
26,1281.5310162785972,3596.140672293476,-12.64367047065457,174,3
27,1281.5963119974208,3683.263286896386,-12.693459078865772,175,3
28,1281.4701083214482,3765.64721657483,-12.741597989921047,176,3
29,1294.9278819144324,3811.2706205704785,-12.771464130231152,107,3
30,1260.468431355518,3929.8545536919028,-12.836566524095929,70,3
31,1297.7307384883877,3928.8715127239434,-12.843480082469114,122,3
32,1296.7375982673607,3962.663232584712,-12.864207013224245,123,3
33,1279.9519042760246,3976.661621647999,-12.869517897392598,69,3
34,1281.5565484349077,3999.972113235453,-12.884436039556135,75,3
35,1281.5447709599166,4101.008405104304,-12.948675246607309,76,3
36,1321.6926592175273,4216.138737286865,-13.032079263990454,132,3
37,1307.270760839352,4206.788538511361,-13.022906129800731,133,3
38,1344.5773537137484,4253.242185360661,-13.061558447159541,135,3
39,1284.7182689256647,3798.3530485501833,-12.76167262239369,239,4
40,1281.5669780807302,3823.5298437509437,-12.776095794006096,242,4
41,1284.71215686832,3823.640070362601,-12.77679861699545,243,4
42,1284.784712796693,3847.832398908438,-12.791379700776531,248,4
