,l1,l2,l3,global_id,category
1,1294.807342,3679.02202,-12.69369239,8,1
2,1294.994514,3772.664474,-12.74849791,9,1
3,1271.041654,3845.055466,-12.78693171,10,2
4,1287.442015,3902.927197,-12.82543412,16,2
5,1290.819261,3902.84871,-12.82607288,17,2
6,1301.296525,3902.984749,-12.82829841,18,2
7,1278.916674,3902.216327,-12.82327275,20,2
8,1283.904616,3902.839221,-12.82466272,27,2
9,1285.794257,3903.153462,-12.82523828,28,2
10,1278.748934,3820.724665,-12.77384301,29,1
11,1278.975583,3902.507822,-12.8234632,30,1
12,1291.193396,3829.478006,-12.78162142,31,1
13,1284.871818,3903.219037,-12.82509142,32,1
14,1293.722342,3903.384608,-12.82699314,35,1
15,1285.580795,3999.793384,-12.88513916,45,1
16,1285.447131,4100.976031,-12.94944513,46,1
17,1281.536463,3999.808123,-12.88432903,48,1
18,1281.626667,4100.886903,-12.94861361,49,1
19,1307.402279,4130.447944,-12.97297735,52,1
20,1280.192519,3665.873224,-12.68314489,61,3
21,1279.951904,3976.661622,-12.8695179,69,3
22,1260.468431,3929.854554,-12.83656652,70,3
23,1281.556548,3999.972113,-12.88443604,75,3
24,1281.544771,4101.008405,-12.94867525,76,3
25,1275.042015,4064.217435,-12.92378525,77,3
26,1273.369758,4156.391549,-12.98292124,78,3
27,1294.861655,3742.764985,-12.73083425,101,3
28,1295.159495,3774.991409,-12.74991005,102,3
29,1295.123691,3829.58809,-12.78248925,106,3
30,1294.927882,3811.270621,-12.77146413,107,3
31,1294.493053,3815.122101,-12.77368071,108,3
32,1295.497591,3840.242301,-12.78897928,116,3
33,1298.002027,3903.437299,-12.82790024,118,3
34,1297.730738,3928.871513,-12.84348008,122,3
35,1296.737598,3962.663233,-12.86420701,123,3
36,1295.174327,4146.755042,-12.98106055,128,3
37,1321.692659,4216.138737,-13.03207926,132,3
38,1307.270761,4206.788539,-13.02290613,133,3
39,1344.577354,4253.242185,-13.06155845,135,3
40,1284.380576,3500.970447,-12.59123575,148,1
41,1292.613095,3501.024115,-12.59293784,149,1
42,1283.425509,3500.618381,-12.59084893,150,2
43,1286.873461,3500.585489,-12.59152954,151,2
44,1290.190336,3500.651075,-12.59223946,152,2
45,1299.971496,3500.554801,-12.59418382,153,2
46,1278.75123,3501.680951,-12.59048867,155,2
47,1278.741094,3501.917325,-12.59061656,160,1
48,1306.606136,3503.211981,-12.59700775,165,1
49,1285.289382,3500.825109,-12.59133999,166,2
50,1285.580118,3596.122979,-12.64448039,167,1
51,1285.63435,3683.21783,-12.6942506,169,1
52,1285.570472,3765.677723,-12.74244648,170,1
53,1281.531016,3596.140672,-12.64367047,174,3
54,1281.596312,3683.263287,-12.69345908,175,3
55,1281.470108,3765.647217,-12.74159799,176,3
56,1296.626568,3500.993273,-12.59374006,182,3
57,1284.718269,3798.353049,-12.76167262,239,4
58,1288.065693,3798.390493,-12.76237419,240,4
59,1281.566978,3823.529844,-12.77609579,242,4
60,1284.712157,3823.64007,-12.77679862,243,4
61,1288.215673,3823.607605,-12.7774901,244,4
62,1284.784713,3847.832399,-12.7913797,248,4
63,1288.251609,3847.884791,-12.79211502,249,4
64,1291.604392,3847.689156,-12.79267924,250,4
65,1294.878973,3907.568041,-12.82979474,251,4
66,1294.779785,3936.82318,-12.84778639,252,4
